,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
472,Influenza with other respiratory manifestations,4871,influenza with other respiratory manifestations,1
473,Acquired spondylolisthesis,7384,acquired spondylolisthesis,1
474,Ill-defined closed fractures of upper limb,8180,illdefined closed fractures of upper limb,1
475,Parapharyngeal abscess,47822,parapharyngeal abscess,1
476,"Unspecified polyarthropathy or polyarthritis, site unspecified",71650,unspecified polyarthropathy or polyarthritis site unspecified,7
477,Unspecified renovascular hypertension,40591,unspecified renovascular hypertension,7
478,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",57400,calculus of gallbladder with acute cholecystitis without mention of obstruction,4
479,Severe sepsis,99592,severe sepsis,1
480,"Blisters, epidermal loss [second degree] of upper arm",94323,blisters epidermal loss second degree of upper arm,1
481,Chronic ulcer of unspecified site,7079,chronic ulcer of unspecified site,7
482,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled",25083,diabetes with other specified manifestations type i juvenile type uncontrolled,6
483,"Late effects of cerebrovascular disease, speech and language deficit, unspecified",43810,late effects of cerebrovascular disease speech and language deficit unspecified,3
484,"Other specified types of schizophrenia, unspecified",29580,other specified types of schizophrenia unspecified,3
485,Malignant neoplasm of sigmoid colon,1533,malignant neoplasm of sigmoid colon,2
486,"Unspecified drug dependence, unspecified",30490,unspecified drug dependence unspecified,7
487,"Endometriosis, site unspecified",6179,endometriosis site unspecified,7
488,Acute bronchospasm,51911,acute bronchospasm,5
489,Other drug allergy,99527,other drug allergy,1
490,Care involving unspecified rehabilitation procedure,V579,care involving unspecified rehabilitation procedure,7
491,Postinflammatory pulmonary fibrosis,515,postinflammatory pulmonary fibrosis,1
492,"Bimalleolar fracture, closed",8244,bimalleolar fracture closed,10
493,Rectocele,61804,rectocele,1
494,Acute apical periodontitis of pulpal origin,5224,acute apical periodontitis of pulpal origin,5
495,Pneumonia due to mycoplasma pneumoniae,4830,pneumonia due to mycoplasma pneumoniae,1
496,Aseptic necrosis of head and neck of femur,73342,aseptic necrosis of head and neck of femur,1
497,Other specified disorders of skin,7098,other specified disorders of skin,3
498,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,45342,acute venous embolism and thrombosis of deep vessels of distal lower extremity,9
499,Malignant neoplasm of temporal lobe,1912,malignant neoplasm of temporal lobe,2
500,"Acute myeloid leukemia, without mention of having achieved remission",20500,acute myeloid leukemia without mention of having achieved remission,5
501,"Open wound of hip and thigh, without mention of complication",8900,open wound of hip and thigh without mention of complication,0
502,Hyperosmolality and/or hypernatremia,2760,hyperosmolality andor hypernatremia,1
503,Mucositis (ulcerative) due to antineoplastic therapy,52801,mucositis ulcerative due to antineoplastic therapy,1
504,"Encephalopathy, unspecified",34830,encephalopathy unspecified,7
505,"Cystocele, lateral",61802,cystocele lateral,1
506,Paralysis agitans,3320,paralysis agitans,1
507,"Cellulitis and abscess of toe, unspecified",68110,cellulitis and abscess of toe unspecified,7
508,"Opioid type dependence, unspecified",30400,opioid type dependence unspecified,6
509,"Intracranial injury of other and unspecified nature without mention of open intracranial wound, with no loss of consciousness",85401,intracranial injury of other and unspecified nature without mention of open intracranial wound with no loss of consciousness,0
510,Displacement of cervical intervertebral disc without myelopathy,7220,displacement of cervical intervertebral disc without myelopathy,1
511,Lack of coordination,7813,lack of coordination,1
512,Iatrogenic pneumothorax,5121,iatrogenic pneumothorax,1
513,"Other diseases of respiratory system, not elsewhere classified",5198,other diseases of respiratory system not elsewhere classified,1
514,Contusion of hip,92401,contusion of hip,1
515,Other colostomy and enterostomy complication,56969,other colostomy and enterostomy complication,1
516,"Pain in joint, upper arm",71942,pain in joint upper arm,1
517,Neoplasm of unspecified nature of other genitourinary organs,2395,neoplasm of unspecified nature of other genitourinary organs,2
518,Gastrointestinal vessel anomaly,74761,gastrointestinal vessel anomaly,1
519,Mechanical loosening of prosthetic joint,99641,mechanical loosening of prosthetic joint,1
520,"Trimalleolar fracture, closed",8246,trimalleolar fracture closed,10
521,"Malignant neoplasm of colon, unspecified site",1539,malignant neoplasm of colon unspecified site,2
522,"Bacterial enteritis, unspecified",0085,bacterial enteritis unspecified,7
523,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",85185,other and unspecified cerebral laceration and contusion without mention of open intracranial wound with prolonged more than 24 hours loss of consciousness without return to preexisting conscious level,0
524,"Aseptic necrosis of bone, other",73349,aseptic necrosis of bone other,1
525,Calculus of ureter,5921,calculus of ureter,1
526,Rotator cuff (capsule) sprain,8404,rotator cuff capsule sprain,1
527,Closed fracture of one rib,80701,closed fracture of one rib,10
528,Complications of transplanted kidney,99681,complications of transplanted kidney,8
529,Hypopotassemia,2768,hypopotassemia,1
530,"Cerebral aneurysm, nonruptured",4373,cerebral aneurysm nonruptured,1
531,Cystic fibrosis with pulmonary manifestations,27702,cystic fibrosis with pulmonary manifestations,1
532,"Abnormal cardiovascular function study, unspecified",79430,abnormal cardiovascular function study unspecified,7
533,Bacteremia,7907,bacteremia,1
534,"Pyelonephritis, unspecified",59080,pyelonephritis unspecified,7
535,Orbital cellulitis,37601,orbital cellulitis,1
536,Occlusion and stenosis of basilar artery with cerebral infarction,43301,occlusion and stenosis of basilar artery with cerebral infarction,1
537,Open fracture of unspecified part of neck of femur,8209,open fracture of unspecified part of neck of femur,10
538,"Abdominal aneurysm, ruptured",4413,abdominal aneurysm ruptured,1
539,Dysuria,7881,dysuria,1
540,Multiple sclerosis,340,multiple sclerosis,1
541,Wheezing,78607,wheezing,1
542,Other suppurative peritonitis,56729,other suppurative peritonitis,1
543,Ulcer of heel and midfoot,70714,ulcer of heel and midfoot,1
544,"Closed fracture of carpal bone, unspecified",81400,closed fracture of carpal bone unspecified,10
545,Secondary malignant neoplasm of skin,1982,secondary malignant neoplasm of skin,2
546,"Thrombocytopenia, unspecified",2875,thrombocytopenia unspecified,7
547,"Acute alcoholic intoxication in alcoholism, continuous",30301,acute alcoholic intoxication in alcoholism continuous,5
548,Reflux esophagitis,53011,reflux esophagitis,1
549,Other symptoms referable to back,7248,other symptoms referable to back,1
550,Nontoxic multinodular goiter,2411,nontoxic multinodular goiter,1
551,"Angioneurotic edema, not elsewhere classified",9951,angioneurotic edema not elsewhere classified,1
552,"Intestinal infection due to other organism, not elsewhere classified",0088,intestinal infection due to other organism not elsewhere classified,1
553,Cellulitis and abscess of trunk,6822,cellulitis and abscess of trunk,1
554,Cellulitis and abscess of face,6820,cellulitis and abscess of face,1
555,Drug withdrawal,2920,drug withdrawal,1
556,"Digestive-genital tract fistula, female",6191,digestivegenital tract fistula female,1
557,"Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region",71531,osteoarthrosis localized not specified whether primary or secondary shoulder region,3
558,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",85302,other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound with brief less than one hour loss of consciousness,0
559,Acute appendicitis without mention of peritonitis,5409,acute appendicitis without mention of peritonitis,5
560,Chronic systolic heart failure,42822,chronic systolic heart failure,3
561,Alcohol withdrawal,29181,alcohol withdrawal,1
562,"Subdural hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified",85229,subdural hemorrhage following injury without mention of open intracranial wound with concussion unspecified,0
563,Complications of transplanted lung,99684,complications of transplanted lung,8
564,Unspecified disease of pancreas,5779,unspecified disease of pancreas,3
565,"Open wound of scalp, complicated",8731,open wound of scalp complicated,0
566,Closed fracture of trochanteric section of neck of femur,82020,closed fracture of trochanteric section of neck of femur,10
567,Atherosclerosis of native arteries of the extremities with ulceration,44023,atherosclerosis of native arteries of the extremities with ulceration,1
568,Persistent postoperative fistula,9986,persistent postoperative fistula,1
569,"Simple type schizophrenia, unspecified",29500,simple type schizophrenia unspecified,6
570,"Cellulitis and abscess of finger, unspecified",68100,cellulitis and abscess of finger unspecified,7
571,Colostomy status,V443,colostomy status,1
572,Other chronic pulmonary heart diseases,4168,other chronic pulmonary heart diseases,3
573,Other specified intestinal obstruction,56089,other specified intestinal obstruction,4
574,Unspecified symptom associated with female genital organs,6259,unspecified symptom associated with female genital organs,7
575,Other nonspecific abnormal results of function study of cardiovascular system,79439,other nonspecific abnormal results of function study of cardiovascular system,1
576,Other abnormal glucose,79029,other abnormal glucose,1
577,Infection (chronic) of amputation stump,99762,infection chronic of amputation stump,3
578,Benign neoplasm of cerebral meninges,2252,benign neoplasm of cerebral meninges,2
579,"Chronic lymphoid leukemia, without mention of having achieved remission",20410,chronic lymphoid leukemia without mention of having achieved remission,1
580,Closed fracture of acetabulum,8080,closed fracture of acetabulum,10
581,"Alcohol abuse, unspecified",30500,alcohol abuse unspecified,7
582,"Sickle-cell disease, unspecified",28260,sicklecell disease unspecified,3
583,Observation for unspecified suspected condition,V719,observation for unspecified suspected condition,7
584,Methicillin susceptible Staphylococcus aureus septicemia,03811,methicillin susceptible staphylococcus aureus septicemia,1
585,Encounter for radiotherapy,V580,encounter for radiotherapy,1
586,Unspecified sinusitis (chronic),4739,unspecified sinusitis chronic,3
587,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],481,pneumococcal pneumonia streptococcus pneumoniae pneumonia,1
588,"Paranoid type schizophrenia, chronic",29532,paranoid type schizophrenia chronic,6
589,Other emphysema,4928,other emphysema,1
590,"Multiple myeloma, without mention of having achieved remission",20300,multiple myeloma without mention of having achieved remission,1
591,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",85221,subdural hemorrhage following injury without mention of open intracranial wound with no loss of consciousness,0
592,Unspecified persistent mental disorders due to conditions classified elsewhere,2949,unspecified persistent mental disorders due to conditions classified elsewhere,7
593,Closed fracture of surgical neck of humerus,81201,closed fracture of surgical neck of humerus,10
594,Respiratory arrest,7991,respiratory arrest,1
595,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",71590,osteoarthrosis unspecified whether generalized or localized site unspecified,7
596,"Open wound of foot except toe(s) alone, without mention of complication",8920,open wound of foot except toes alone without mention of complication,0
597,Encounter for therapeutic drug monitoring,V5883,encounter for therapeutic drug monitoring,1
598,"Spondylosis with myelopathy, thoracic region",72141,spondylosis with myelopathy thoracic region,1
599,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",85220,subdural hemorrhage following injury without mention of open intracranial wound unspecified state of consciousness,0
600,Malignant neoplasm of other specified sites of bladder,1888,malignant neoplasm of other specified sites of bladder,2
601,Pulmonary collapse,5180,pulmonary collapse,1
602,Pain in thoracic spine,7241,pain in thoracic spine,1
603,Homonymous bilateral field defects,36846,homonymous bilateral field defects,1
604,Abscess of eyelid,37313,abscess of eyelid,1
605,Cardiac arrest,4275,cardiac arrest,1
606,"Calculus of gallbladder without mention of cholecystitis, with obstruction",57421,calculus of gallbladder without mention of cholecystitis with obstruction,4
607,Sarcoidosis,135,sarcoidosis,1
608,Other ill-defined conditions,79989,other illdefined conditions,1
609,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",40401,hypertensive heart and chronic kidney disease malignant with heart failure and with chronic kidney disease stage i through stage iv or unspecified,3
610,Septicemia due to pseudomonas,03843,septicemia due to pseudomonas,1
611,Other esophagitis,53019,other esophagitis,1
612,Other specified noninflammatory disorders of vagina,6238,other specified noninflammatory disorders of vagina,3
613,Edema of male genital organs,60886,edema of male genital organs,1
614,Hematoma complicating a procedure,99812,hematoma complicating a procedure,1
615,Hypotension of hemodialysis,45821,hypotension of hemodialysis,1
616,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites",20080,other named variants of lymphosarcoma and reticulosarcoma unspecified site extranodal and solid organ sites,7
617,"Atrioventricular block, complete",4260,atrioventricular block complete,1
618,"Closed fracture of clavicle, unspecified part",81000,closed fracture of clavicle unspecified part,10
619,Toxic multinodular goiter without mention of thyrotoxic crisis or storm,24220,toxic multinodular goiter without mention of thyrotoxic crisis or storm,1
620,Poisoning by other antihypertensive agents,9726,poisoning by other antihypertensive agents,1
621,Methicillin susceptible pneumonia due to Staphylococcus aureus,48241,methicillin susceptible pneumonia due to staphylococcus aureus,1
622,"Other malignant lymphomas, lymph nodes of head, face, and neck",20281,other malignant lymphomas lymph nodes of head face and neck,1
623,"Pressure ulcer, hip",70704,pressure ulcer hip,1
624,Atherosclerosis of renal artery,4401,atherosclerosis of renal artery,1
625,Glossopharyngeal neuralgia,3521,glossopharyngeal neuralgia,1
626,Other septicemia due to gram-negative organisms,03849,other septicemia due to gramnegative organisms,1
627,"Other current conditions classifiable elsewhere of mother, antepartum condition or complication",64893,other current conditions classifiable elsewhere of mother antepartum condition or complication,1
628,"Spinal stenosis, unspecified region",72400,spinal stenosis unspecified region,7
629,Acidosis,2762,acidosis,1
630,Unspecified disorder of bladder,5969,unspecified disorder of bladder,7
631,Contusion of knee,92411,contusion of knee,1
632,Encounter for extracorporeal dialysis,V560,encounter for extracorporeal dialysis,1
633,"Pain in joint, shoulder region",71941,pain in joint shoulder region,1
634,Other ureteric obstruction,5934,other ureteric obstruction,4
635,Open fracture of middle or proximal phalanx or phalanges of hand,81611,open fracture of middle or proximal phalanx or phalanges of hand,1
636,Unspecified disease of spinal cord,3369,unspecified disease of spinal cord,3
637,Coronary atherosclerosis of autologous vein bypass graft,41402,coronary atherosclerosis of autologous vein bypass graft,1
638,Streptococcal septicemia,0380,streptococcal septicemia,1
639,"Closed fracture of mandible, subcondylar",80222,closed fracture of mandible subcondylar,10
640,"Rupture of bladder, nontraumatic",5966,rupture of bladder nontraumatic,1
641,"Combinations of opioid type drug with any other drug dependence, continuous",30471,combinations of opioid type drug with any other drug dependence continuous,6
642,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",25003,diabetes mellitus without mention of complication type i juvenile type uncontrolled,6
643,Chronic obstructive asthma with status asthmaticus,49321,chronic obstructive asthma with status asthmaticus,3
644,"Thoracic or lumbosacral neuritis or radiculitis, unspecified",7244,thoracic or lumbosacral neuritis or radiculitis unspecified,7
645,Other dysphagia,78729,other dysphagia,1
646,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, without mention of obstruction",57480,calculus of gallbladder and bile duct with acute and chronic cholecystitis without mention of obstruction,4
647,Diverticulitis of colon with hemorrhage,56213,diverticulitis of colon with hemorrhage,1
648,"Thoracic aneurysm, ruptured",4411,thoracic aneurysm ruptured,1
649,Diverticulosis of colon with hemorrhage,56212,diverticulosis of colon with hemorrhage,1
650,Concussion with no loss of consciousness,8500,concussion with no loss of consciousness,0
651,"Cardiovascular disease, unspecified",4292,cardiovascular disease unspecified,3
652,Poisoning by benzodiazepine-based tranquilizers,9694,poisoning by benzodiazepinebased tranquilizers,1
653,Malignant neoplasm of duodenum,1520,malignant neoplasm of duodenum,2
654,Mechanical complication of colostomy and enterostomy,56962,mechanical complication of colostomy and enterostomy,1
655,Supervision of other normal pregnancy,V221,supervision of other normal pregnancy,1
656,"Closed fracture of mandible, symphysis of body",80226,closed fracture of mandible symphysis of body,10
657,Other calculus in bladder,5941,other calculus in bladder,1
658,Other specified peripheral vascular diseases,44389,other specified peripheral vascular diseases,3
659,Esophageal reflux,53081,esophageal reflux,1
660,Elevated sedimentation rate,7901,elevated sedimentation rate,1
661,Angiodysplasia of stomach and duodenum with hemorrhage,53783,angiodysplasia of stomach and duodenum with hemorrhage,1
662,"Spinal stenosis, thoracic region",72401,spinal stenosis thoracic region,1
663,"Bipolar I disorder, most recent episode (or current) unspecified",2967,bipolar i disorder most recent episode or current unspecified,7
664,Pilonidal cyst with abscess,6850,pilonidal cyst with abscess,1
665,"Infectious colitis, enteritis, and gastroenteritis",0090,infectious colitis enteritis and gastroenteritis,1
666,"Combinations of drug dependence excluding opioid type drug, in remission",30483,combinations of drug dependence excluding opioid type drug in remission,6
667,"Opioid type dependence, continuous",30401,opioid type dependence continuous,6
668,Closed fracture of first cervical vertebra,80501,closed fracture of first cervical vertebra,10
669,Nontraumatic hematoma of soft tissue,72992,nontraumatic hematoma of soft tissue,1
670,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled",25081,diabetes with other specified manifestations type i juvenile type not stated as uncontrolled,6
671,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",57410,calculus of gallbladder with other cholecystitis without mention of obstruction,4
672,Thoracic aneurysm without mention of rupture,4412,thoracic aneurysm without mention of rupture,1
673,"Bipolar I disorder, most recent episode (or current) depressed, moderate",29652,bipolar i disorder most recent episode or current depressed moderate,1
674,Contusion of orbital tissues,9212,contusion of orbital tissues,1
675,Other specified aplastic anemias,28489,other specified aplastic anemias,3
676,Acute appendicitis with generalized peritonitis,5400,acute appendicitis with generalized peritonitis,5
677,Nonunion of fracture,73382,nonunion of fracture,10
678,"Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)",60091,hyperplasia of prostate unspecified with urinary obstruction and other lower urinary symptoms luts,9
679,"Senile dementia, uncomplicated",2900,senile dementia uncomplicated,1
680,Contusion of upper arm,92303,contusion of upper arm,1
681,Paroxysmal supraventricular tachycardia,4270,paroxysmal supraventricular tachycardia,1
682,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites",20040,mantle cell lymphoma unspecified site extranodal and solid organ sites,7
683,Post-traumatic seroma,72991,posttraumatic seroma,1
684,"Goiter, unspecified",2409,goiter unspecified,7
685,Chronic vascular insufficiency of intestine,5571,chronic vascular insufficiency of intestine,3
686,External hemorrhoids with other complication,4555,external hemorrhoids with other complication,1
687,Other mechanical complication of prosthetic joint implant,99647,other mechanical complication of prosthetic joint implant,8
688,Unspecified local infection of skin and subcutaneous tissue,6869,unspecified local infection of skin and subcutaneous tissue,7
689,Mobitz (type) II atrioventricular block,42612,mobitz type ii atrioventricular block,6
690,Anal fissure,5650,anal fissure,1
691,Carcinoma in situ of breast,2330,carcinoma in situ of breast,1
692,"Closed fracture of intracapsular section of neck of femur, unspecified",82000,closed fracture of intracapsular section of neck of femur unspecified,10
693,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft",99669,infection and inflammatory reaction due to other internal prosthetic device implant and graft,8
694,Pathologic fracture of neck of femur,73314,pathologic fracture of neck of femur,10
695,Occlusion and stenosis of carotid artery with cerebral infarction,43311,occlusion and stenosis of carotid artery with cerebral infarction,1
696,Chronic pancreatitis,5771,chronic pancreatitis,3
697,Complications of transplanted heart,99683,complications of transplanted heart,8
698,Pulmonary congestion and hypostasis,514,pulmonary congestion and hypostasis,1
699,Grand mal status,3453,grand mal status,1
700,"Phlebitis and thrombophlebitis of deep veins of lower extremities, other",45119,phlebitis and thrombophlebitis of deep veins of lower extremities other,9
701,"Major depressive affective disorder, single episode, severe, without mention of psychotic behavior",29623,major depressive affective disorder single episode severe without mention of psychotic behavior,1
702,"Orchitis and epididymitis, unspecified",60490,orchitis and epididymitis unspecified,7
703,Malignant neoplasm of transverse colon,1531,malignant neoplasm of transverse colon,2
704,Other complications due to heart valve prosthesis,99671,other complications due to heart valve prosthesis,8
705,Spinal stenosis in cervical region,7230,spinal stenosis in cervical region,1
706,Hernia of other specified sites without mention of obstruction or gangrene,5538,hernia of other specified sites without mention of obstruction or gangrene,4
707,Regional enteritis of large intestine,5551,regional enteritis of large intestine,1
708,"Alcoholic liver damage, unspecified",5713,alcoholic liver damage unspecified,7
709,Secondary malignant neoplasm of other parts of nervous system,1984,secondary malignant neoplasm of other parts of nervous system,2
710,Malignant neoplasm of other specified sites of female breast,1748,malignant neoplasm of other specified sites of female breast,2
711,Salmonella gastroenteritis,0030,salmonella gastroenteritis,1
712,"Cocaine dependence, continuous",30421,cocaine dependence continuous,1
713,Other ulcerative colitis,5568,other ulcerative colitis,1
714,Immune thrombocytopenic purpura,28731,immune thrombocytopenic purpura,1
715,"Cystocele, midline",61801,cystocele midline,1
716,"Chronic osteomyelitis, ankle and foot",73017,chronic osteomyelitis ankle and foot,3
717,"Infection and inflammatory reaction due to cardiac device, implant, and graft",99661,infection and inflammatory reaction due to cardiac device implant and graft,8
718,"Injury to bladder and urethra, without mention of open wound into cavity",8670,injury to bladder and urethra without mention of open wound into cavity,0
719,"Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot",71537,osteoarthrosis localized not specified whether primary or secondary ankle and foot,3
720,Shoulder and upper arm injury,9592,shoulder and upper arm injury,1
721,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites",20050,primary central nervous system lymphoma unspecified site extranodal and solid organ sites,7
722,Dementia in conditions classified elsewhere with behavioral disturbance,29411,dementia in conditions classified elsewhere with behavioral disturbance,1
723,Malignant neoplasm of adrenal gland,1940,malignant neoplasm of adrenal gland,2
724,Other specified forms of chronic ischemic heart disease,4148,other specified forms of chronic ischemic heart disease,3
725,"Chronic kidney disease, unspecified",5859,chronic kidney disease unspecified,3
726,Other specified septicemias,0388,other specified septicemias,3
727,Other and unspecified diseases of the oral soft tissues,5289,other and unspecified diseases of the oral soft tissues,7
728,Other primary cardiomyopathies,4254,other primary cardiomyopathies,1
729,Polyp of corpus uteri,6210,polyp of corpus uteri,1
730,Aortocoronary bypass status,V4581,aortocoronary bypass status,1
731,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",53140,chronic or unspecified gastric ulcer with hemorrhage without mention of obstruction,4
732,"Unspecified osteomyelitis, ankle and foot",73027,unspecified osteomyelitis ankle and foot,7
733,Cerebral embolism with cerebral infarction,43411,cerebral embolism with cerebral infarction,1
734,Malignant neoplasm of pylorus,1511,malignant neoplasm of pylorus,2
735,Other abnormal clinical findings,7964,other abnormal clinical findings,1
736,"Calculus of bile duct without mention of cholecystitis, with obstruction",57451,calculus of bile duct without mention of cholecystitis with obstruction,4
737,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",80120,closed fracture of base of skull with subarachnoid subdural and extradural hemorrhage unspecified state of consciousness,0
738,Closed fracture of shaft of tibia alone,82320,closed fracture of shaft of tibia alone,10
739,"Stress incontinence, female",6256,stress incontinence female,1
740,"Pain in joint, ankle and foot",71947,pain in joint ankle and foot,1
741,"Endocarditis, valve unspecified, unspecified cause",42490,endocarditis valve unspecified unspecified cause,7
742,Closed fracture of four ribs,80704,closed fracture of four ribs,10
743,Closed fracture of multiple sites of metacarpus,81509,closed fracture of multiple sites of metacarpus,10
744,"Open fracture of lower end of femur, unspecified part",82130,open fracture of lower end of femur unspecified part,10
745,Pneumonia due to Klebsiella pneumoniae,4820,pneumonia due to klebsiella pneumoniae,1
746,Malignant neoplasm of lower third of esophagus,1505,malignant neoplasm of lower third of esophagus,2
747,"Respiratory abnormality, unspecified",78600,respiratory abnormality unspecified,7
748,"Acute myocardial infarction of unspecified site, episode of care unspecified",41090,acute myocardial infarction of unspecified site episode of care unspecified,5
749,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled",25041,diabetes with renal manifestations type i juvenile type not stated as uncontrolled,6
750,Mechanical complication due to peritoneal dialysis catheter,99656,mechanical complication due to peritoneal dialysis catheter,1
751,Human immunodeficiency virus [HIV] disease,042,human immunodeficiency virus hiv disease,3
752,Closed fracture of base of neck of femur,82003,closed fracture of base of neck of femur,10
753,"Arthropathy, unspecified, ankle and foot",71697,arthropathy unspecified ankle and foot,7
754,"Other acute and subacute forms of ischemic heart disease, other",41189,other acute and subacute forms of ischemic heart disease other,3
755,"Calculus of bile duct with acute cholecystitis, with obstruction",57431,calculus of bile duct with acute cholecystitis with obstruction,4
756,"Ulcerative colitis, unspecified",5569,ulcerative colitis unspecified,7
757,"Subendocardial infarction, episode of care unspecified",41070,subendocardial infarction episode of care unspecified,7
758,Unspecified adjustment reaction,3099,unspecified adjustment reaction,7
759,"Hemorrhage, unspecified",4590,hemorrhage unspecified,7
760,Degeneration of lumbar or lumbosacral intervertebral disc,72252,degeneration of lumbar or lumbosacral intervertebral disc,1
761,"Dissection of aorta, thoracoabdominal",44103,dissection of aorta thoracoabdominal,1
762,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled",25031,diabetes with other coma type i juvenile type not stated as uncontrolled,6
763,Closed fracture of three ribs,80703,closed fracture of three ribs,10
764,"Osteoarthrosis, localized, secondary, lower leg",71526,osteoarthrosis localized secondary lower leg,9
765,Poisoning by other opiates and related narcotics,96509,poisoning by other opiates and related narcotics,1
766,Unspecified disorder of male genital organs,6089,unspecified disorder of male genital organs,7
767,Closed fracture of nasal bones,8020,closed fracture of nasal bones,10
768,Secondary malignant neoplasm of other specified sites,19889,secondary malignant neoplasm of other specified sites,2
769,"Peripheral vascular complications, not elsewhere classified",9972,peripheral vascular complications not elsewhere classified,8
770,"Bipolar I disorder, most recent episode (or current) depressed, unspecified",29650,bipolar i disorder most recent episode or current depressed unspecified,7
771,Methicillin resistant Staphylococcus aureus septicemia,03812,methicillin resistant staphylococcus aureus septicemia,1
772,"Dissection of aorta, unspecified site",44100,dissection of aorta unspecified site,7
773,Other protein-calorie malnutrition,2638,other proteincalorie malnutrition,1
774,Malignant neoplasm of base of tongue,1410,malignant neoplasm of base of tongue,2
775,Rheumatic heart failure (congestive),39891,rheumatic heart failure congestive,3
776,Excessive or frequent menstruation,6262,excessive or frequent menstruation,1
777,Foreign body in larynx,9331,foreign body in larynx,1
778,Malignant neoplasm of gallbladder,1560,malignant neoplasm of gallbladder,2
779,Cardiogenic shock,78551,cardiogenic shock,1
780,Pneumonia due to other gram-negative bacteria,48283,pneumonia due to other gramnegative bacteria,1
781,"Myoneural disorders, unspecified",3589,myoneural disorders unspecified,7
782,Spondylolisthesis,75612,spondylolisthesis,1
783,"Abdominal or pelvic swelling, mass, or lump, left lower quadrant",78934,abdominal or pelvic swelling mass or lump left lower quadrant,9
784,Acute combined systolic and diastolic heart failure,42841,acute combined systolic and diastolic heart failure,5
785,"Schizophrenic disorders, residual type, unspecified",29560,schizophrenic disorders residual type unspecified,6
786,"Appendicitis, unqualified",541,appendicitis unqualified,1
787,"Fracture of unspecified bone, closed",8290,fracture of unspecified bone closed,10
788,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",25060,diabetes with neurological manifestations type ii or unspecified type not stated as uncontrolled,6
789,Other and unspecified ovarian cyst,6202,other and unspecified ovarian cyst,7
790,"Diabetes with other coma, type II or unspecified type, uncontrolled",25032,diabetes with other coma type ii or unspecified type uncontrolled,6
791,Other acute postoperative pain,33818,other acute postoperative pain,5
792,"Uterovaginal prolapse, incomplete",6182,uterovaginal prolapse incomplete,1
793,Neoplasm of uncertain behavior of bladder,2367,neoplasm of uncertain behavior of bladder,2
794,"Other specified sites, including multiple injury",9598,other specified sites including multiple injury,3
795,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy",34550,localizationrelated focal partial epilepsy and epileptic syndromes with simple partial seizures without mention of intractable epilepsy,1
796,"Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum",8280,closed multiple fractures involving both lower limbs lower with upper limb and lower limbs with ribs and sternum,9
797,Closed fracture of ilium,80841,closed fracture of ilium,10
798,"Conduction disorder, unspecified",4269,conduction disorder unspecified,7
799,"Gout, unspecified",2749,gout unspecified,7
800,Closed fracture of unspecified part of tibia alone,82380,closed fracture of unspecified part of tibia alone,10
801,Coronary atherosclerosis of unspecified bypass graft,41405,coronary atherosclerosis of unspecified bypass graft,7
802,"Heart failure, unspecified",4289,heart failure unspecified,3
803,Other open fractures of distal end of radius (alone),81352,other open fractures of distal end of radius alone,1
804,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",40491,hypertensive heart and chronic kidney disease unspecified with heart failure and with chronic kidney disease stage i through stage iv or unspecified,3
